Temperature,Exposure duration,pH,Light,Type,Size,Concentration,Transcription,Cellular community - prokaryotes,Amino acid metabolism,Drug resistance: antimicrobial,"Folding, sorting and degradation",Infectious disease: bacterial,Lipid metabolism,Membrane transport,Translation,Carbohydrate metabolism,Xenobiotics biodegradation and metabolism,Energy metabolism
25,1,7.4,NA,PE,0.02,0.007,2185194.71,356203.51,1408893.7,54864.41,480284.43,30510.11,771000.78,1200930.63,1206235.34,61025.3,67516.27,527844.79
25,1,7.4,NA,PE,0.02,0.007,2822434.06,495654.67,1825739.05,67890.35,604162.96,35644.9,980241.19,1660370.45,1513304.66,78049.01,90055.31,677530.9
25,1,7.4,NA,PE,0.02,0.007,2037247.9,386052.41,1369306.82,48857.01,459790.46,23194.31,769154.24,1186895.05,1100890.54,55675.42,73747.2,512703.82
25,1,7.4,NA,PE,0.02,0.007,1522434.06,345654.67,325739.05,52890.35,554162.96,23644.9,380241.19,2345603.45,1313334.66,65032.01,22055.31,537530.9
28,14,NA,12,PE,0.03,0.0002,5286048.22,468178.74,2936492.37,156139.54,1007524.92,102786.09,1405285.07,2967748.53,2894820.18,144669.33,78333.36,1037650.64
25,35,NA,12,PE,0.03,0.0002,5428598.86,454929.59,2971542.72,181918.41,994992.43,107110.97,1380136.35,3137205.54,2902050.04,143293.44,66300.19,1039717.97
25,35,NA,12,PE,0.03,0.0002,4110302.77,380928.73,2390055.43,124402.18,845793.53,84383.67,1259607.84,2203648.8,2350348.15,115111.49,66418.05,851625.23
25,35,NA,12,PE,0.03,0.0002,4066062.83,339182.3,2227431.02,120460.06,765278.33,77903.83,1117932.27,2147319.98,2182763.76,108871.12,67130.24,804038.08
28,14,NA,12,PE,0.03,0.002,4182003.97,300770.95,2266209.27,149064.08,806203.09,79090.2,1237895.56,1685182.23,2091396.23,98204.99,56475.22,817865.98
28,35,NA,12,PE,0.03,0.002,3874073.84,322844.14,2196316.92,123069.36,769580.49,77051.78,1147046.3,1937448.83,2128390.43,103529.75,63320.75,795572.25
28,35,NA,12,PE,0.03,0.002,5188942.35,492962.34,2942390.73,165387.65,1067786.69,101844.11,1672136.6,2781711.32,2867119.12,142405.82,90290.21,1064213.32
25,35,NA,12,PE,0.03,0.002,4560423.31,360793,2548837.62,173014.55,904772.2,89667.69,1355751.74,2204844.86,2423283,113885.35,64802.52,914243.75
25,35,NA,12,PE,0.03,0.002,4291394.53,302197.73,2430153.98,150284.17,876291.06,87619.84,1246971.3,1881329.99,2411637.48,114412.99,69257.96,903555.16
25,35,NA,12,PE,0.03,0.02,4173907.72,383201.28,2304665.92,117387.76,794444.72,79839.49,1139544.37,2459062.51,2304287.49,118425.48,70182.53,822037.18
25,35,NA,12,PE,0.03,0.02,4890783.61,493573.11,2541539.07,120309.28,886784.5,83549.93,1297551.34,2864170.52,2526791.7,130127.89,82033.22,947397.33
28,35,NA,12,PE,0.03,0.02,6640474.04,544049.65,3722671.32,192638.37,1281742.38,133014.06,1877872.76,3496837.06,3590680.04,174575.95,87126.79,1315855.43
25,35,NA,12,PE,0.03,0.02,7014052.29,662156.87,3856565.01,207935.67,1295625.48,136312.26,1885354.69,4396825.8,3731689.78,186839.04,98373.1,1351768.56
18,7,7,16,PS,0.075,0.1,422813.82,65223.36,236893.91,12830.37,68057.68,12343.74,126860.35,223489.51,170428.34,8938.58,20603.19,83149.46
18,7,7,16,PS,0.075,#N/A,401998.86,66016.5,221496.74,11823.32,63805.27,11418.08,118850.39,212246.45,161051.83,8445.36,18976.74,77636.74
18,7,7,16,PS,0.075,#N/A,223506.53,34006.43,128441.22,7494.6,37282.53,6994.91,69295.12,116231.92,94966.9,4787.91,10409.17,44071.09
18,7,7,16,PS,0.075,#N/A,501441.89,68140.97,293156.2,18014.16,84132.3,16878.76,159779.46,266959.35,211450.23,10647.61,25316.48,101914.7
18,7,7,16,PS,0.075,#N/A,781993.52,107800.4,503167.99,21987.11,161713.38,21122.27,253732.41,366259.16,434802.5,22326.88,25281.05,167236.05
18,7,7,16,PS,0.075,#N/A,650968.81,98540.07,379713.48,18026.12,113331.1,17538.52,197774.61,331348.03,288523.56,15321.34,29159.7,134128.21
18,7,7,16,PS,0.075,#N/A,81600.38,12484.78,49866.87,1854.37,16326.76,1922.62,24965.52,40767.57,43229.75,2324.63,2381.91,17240.21
18,7,7,16,PS,0.075,#N/A,642733.72,92681.85,395072.73,19001.38,122457.94,18082.99,201732.79,315690.8,321974.2,16683.09,24857.12,133244.2
18,7,7,16,PS,0.075,#N/A,114957.65,15407.94,69052.47,4649.76,19432.72,4223.12,37641.68,60929.16,49105.38,2394.25,5709.74,23547.66
18,7,7,16,PS,0.075,#N/A,493710.63,61597.53,315921.94,17805.38,95118.63,16828.63,165091.5,242798.01,253091.83,12546.85,18972.12,107589.91
18,14,7,16,PS,0.075,0.1,2557730.34,460245.27,1426821.91,45218.8,438307.88,46752.44,707796.31,1302052.3,1105973.33,62434.89,97326.69,506936.33
18,14,7,16,PS,0.075,0.01,2445575.76,434647.27,1400570.21,50054.99,439358.92,50567.01,695154.77,1208931.86,1144345.8,62541.61,88596.81,471040.07
18,14,7,16,PS,0.075,0.01,191320.99,27219.07,116993.66,5635.9,36239.52,5358.57,60417.07,94867.33,94509.21,4885.4,7545.63,39925.96
18,14,7,16,PS,0.075,0.01,2407204.64,418551.3,1341257.27,51748.34,401101.77,52548.98,664472.78,1264515.01,1006031.95,56545.12,100072.68,468792.68
18,14,7,16,PS,0.075,#N/A,534674.92,127162.81,287884.7,3200.29,96167.22,5565.42,138604.9,229725.86,278368.3,15148.51,8370.39,93904.37
18,14,7,16,PS,0.075,#N/A,108390.32,18334.31,65337.05,1234.8,20371.54,1473.91,32922.92,46097.02,55403.71,2957.44,3643.74,23009.49
18,14,7,16,PS,0.075,#N/A,352952,51598.84,213147.22,10694.34,64541.01,10088.95,108284.16,178354.15,167281.97,8691.76,14372.27,72105.73
18,14,7,16,PS,0.075,#N/A,1209467.38,175037.09,741604.26,36944.69,225273.82,34568.91,373778.87,602163.75,586895.05,30309.88,47669.59,250047.63
18,14,7,16,PS,0.075,#N/A,457398.11,65979.48,264454.65,15020.96,78141.65,14234.09,143124.22,234897.79,200179.61,10180.59,21259.23,92092.11
18,14,7,16,PS,0.075,#N/A,286257.79,39843.97,165559.15,9491.29,48224.59,9016.64,89123.79,150066.44,121998.92,6293.87,14036.06,58436.72
18,28,7,16,PS,0.075,0.1,1460174.11,252773.17,897117.03,18405.87,292105.01,17096.51,401182.17,623879.57,771263.53,41399.78,31037.16,311115.48
18,28,7,16,PS,0.075,0.1,871846.87,151598.26,540355.7,11328.61,176606.72,10017.87,244392.18,358032.45,469870.29,24761.56,17930.8,185192.28
18,28,7,16,PS,0.075,0.1,597000.81,158109.34,308015.41,2844.38,101392,5633.37,149819.18,245773.14,303846.64,16145.08,7454.26,97267.09
18,28,7,16,PS,0.075,0.1,2462939.63,445081.98,1500868.02,29833.61,490893.27,26382.64,676980.72,1067307.42,1279953.3,69247.62,51343.49,523653.75
18,28,7,16,PS,0.075,0.01,1253061.5,215740.82,789679.87,19324.23,263460.36,16119.16,367145.87,515594.74,703367.23,36555.61,24363.8,266287.14
18,28,7,16,PS,0.075,0.01,1473108.44,292481.15,846722.49,19453.33,280144.73,22402.2,402507.36,667557.55,771387.87,42272.67,37984.11,275136.43
18,28,7,16,PS,0.075,#N/A,2569149.47,444631.36,1496052.86,50044.55,476194.21,50949.57,721817.97,1261182.27,1246110.66,68900.53,91046.47,500902.63
18,28,7,16,PS,0.075,#N/A,1926422.62,367579.06,1061253.35,35618.73,322803.16,36977.63,528484.64,960396.43,835969.06,46116.49,70490.24,365269.8
18,28,7,16,PS,0.075,#N/A,261524.88,47445.44,142058.6,5712.96,41061.26,5773.14,70989.12,140164.9,101452.86,5754.36,11391.14,50565.74
18,28,7,16,PS,0.075,#N/A,964143.17,195468.61,534866.71,6540.53,172101.97,10054.53,241042.07,487364.63,447652.79,26837.23,24874.47,191052.27
29,14,7,12,PS,0.08,0.0001,879726.45,88658.52,602279.63,21750.86,227951.56,24219.84,516743.38,362873.62,557570.28,42218.12,47534,248468.72
29,14,7,12,PS,0.08,0.0001,825794.15,71029.32,515334.97,15751.11,188270.45,28789.23,411395.75,318825.16,460870.46,30895.81,54837.11,235277.63
29,14,7,12,PS,0.08,0.0001,590619.3,44697.11,358026.91,9120.68,128659.56,19077.99,281320.41,221214.77,319471.34,24879.92,37281.58,151844.86
29,14,7,12,PS,0.08,0.0001,697860.28,61105.37,478950.43,24681.63,185757.05,13449.46,312477.09,326295.91,440315.77,23429.27,13129.91,190303.56
29,14,7,12,PS,0.08,0.0001,784708.72,69756.98,498816.35,14871.98,186595.03,24682.07,426316.61,301830.1,455825.19,36056.92,48133.17,212470.95
29,14,7,12,PS,0.08,0.0001,1396048.17,155713.27,940747.94,38531.01,350235.26,37179.88,731356.6,620671.88,875401.25,56990.04,66328.88,399709.04
26,21,7,12,PS,0.08,0.000000514,714616.51,73134.01,532578.16,25729.49,196969.62,12443.83,304404.79,378016.12,430196.19,23111.35,15649.76,207771.47
26,21,7,12,PS,0.08,0.000000514,494662.27,46164.6,343486.5,16492.75,127098.12,8822.68,195356.86,257706.33,282592.47,15486.91,12147.49,138330.67
26,21,7,12,PS,0.08,0.000000514,2024525.52,247996.66,1368572.68,33736.58,417533.8,33767.47,874609.53,768082.73,1069389.73,65300.26,141843.84,591904.88
26,21,7,12,PS,0.08,0.000000514,1014375.15,89650.56,806431.71,43887.87,309750.69,17767.33,459020.83,557807,638284.69,33544.91,18022.64,313108.72
26,21,7,12,PS,0.08,0.000000514,803473.77,76612.86,482600.35,22092.29,174681.69,16479.23,259831.76,406574.26,434173.65,23847.4,14736.74,182294.51
26,21,7,12,PS,0.08,0.000000514,1156688.09,98039.45,736869.73,39544.27,271406.71,22585.54,395743.5,565721.02,669888.46,34987.53,18427.96,275372.55
28,4,6.2,12,PS,0.088,0.00002,462865.8,30840.45,324661.71,9714.56,136746.25,7456.4,321015.88,178754.94,320178.98,35267.08,7216.83,97617.21
28,4,6.2,12,PS,0.088,0.00002,1153001.87,71486.2,748630.25,16802.15,322067.67,20721.51,900951.35,414388.25,760852.31,105598.25,23473.49,202884.65
28,4,6.2,12,PS,0.088,0.00002,1483497.23,77734.92,981509.25,20354.06,430056.31,26781.24,1167408.78,538524.85,1032694.34,138844.42,27665.11,267719.62
18.5,7,7.8,16,PS,0.1,0.025,526774.7,49043.02,335740.28,10961.08,125769.1,12440.57,213532.95,211530.18,317693.9,18109.82,32476.6,152362.29
18.5,7,7.8,16,PS,0.1,0.025,912747.62,69736.65,590441.31,20693.8,238112.18,20954.1,365812.42,373228.14,610822.1,33462.56,36348.71,249984.86
18.5,7,7.8,16,PS,0.1,0.025,7487708.92,614981.01,5049566.89,231401.64,2215406.83,174156.57,3126445.38,3266867.57,5654105.1,288165.12,90678.9,1881685.75
18.5,7,7.8,16,PS,0.1,0.025,2722095.51,250243.78,1756953.29,83375.96,681035.53,70410.99,1076356.09,1277923.11,1688266.8,89650.32,98060.36,702988.1
18.5,7,7.8,16,PS,0.1,0.025,3147043.68,278800.01,1976052.54,56314.26,707167.37,78070.43,1228405.28,1273546.76,1808518.43,104477.39,218354.02,916121.63
18.5,7,7.8,16,PS,0.1,0.025,7456076.29,1612176.25,4184193.57,104700.13,1596472.57,107048.47,2387014.44,2885056.94,4563544.9,229878.07,80127.36,1406859.2
18.5,7,7.8,16,PS,0.1,0.5,1657224.71,163077.93,995510.33,52517.55,349331.44,48596.48,600367.31,792164.18,860390.54,46454.01,93819.43,408559.92
18.5,7,7.8,16,PS,0.1,0.5,2180594.21,162877.96,1449672.93,52832.44,603561.31,49312.2,919414.57,872906.36,1528201.33,83681.53,83495.99,611612.69
18.5,7,7.8,16,PS,0.1,0.5,711789.24,57688.61,458220.85,16131.21,176822.87,17080.03,288249.02,292636.61,444607.82,25133.17,37389.04,201305.98
18.5,7,7.8,16,PS,0.1,0.5,1481451.3,136034.66,978731.12,35130.44,402356.16,31926.32,610263.68,593524.84,1036453.66,55569.99,50075.84,400343.71
18.5,7,7.8,16,PS,0.1,0.5,2096286.81,162106.02,1287635.66,31451.5,462197.77,48961.64,773137.03,832573.19,1230239.43,70026.74,129511.51,594114.67
18.5,7,7.8,16,PS,0.1,0.5,2048764.66,176625.46,1307300.36,37315.2,462806.34,50063.36,835498.4,782102.81,1159849.24,69717.51,164357.35,630341.38
18.5,7,7.8,16,PS,0.1,10,1238033.7,94302.99,817583.59,30484.82,340865.61,28694.49,514664.63,513764.3,863361.57,46811.98,42650.99,340376.01
18.5,7,7.8,16,PS,0.1,10,397263.19,38177.63,240933.68,5013.74,68255.31,10113.05,154560.66,144685.88,164771.34,11766.23,48568.59,132640.97
18.5,7,7.8,16,PS,0.1,10,1811839.96,268481.52,1136007.2,81203.26,292064.92,69798.16,612236.63,1145339.51,660845.01,35561.41,111288.94,447311.07
18.5,7,7.8,16,PS,0.1,10,679568.89,60019.91,442596.68,16172.35,176130.03,15998.42,262623.9,297459.39,447897.68,24468.52,21479.52,177151.59
18.5,7,7.8,16,PS,0.1,10,677405.02,71187.88,427528.2,11902.35,149685.33,16446.37,245328.85,287831.52,391246.4,22699.13,37168.2,181943.5
18.5,7,7.8,16,PS,0.1,10,3244850.65,252589.49,2121084.73,73636.98,846120.95,72816.64,1322582.13,1314815.15,2151811.05,120763.56,140986.38,911580.3
25,14,7.2,14,PE,0.1,0.00001,899874.19,108273.2,545690.14,23129.75,178736.71,16352.17,332049.55,415992.76,469852.33,42410.64,36363.99,193402.16
25,14,7.2,14,PE,0.1,0.00001,1000955.16,121048.52,618260.38,29658.91,182924.16,21435.26,351879.14,503258.97,447763.75,35299.63,45396.08,220186.81
25,14,7.2,14,PE,0.1,0.00001,843996.79,93949.02,513813.38,21706.62,159736.48,15021.13,292451.75,396475.96,399663.51,34246.18,33720.37,181735.78
25,14,7.2,14,PE,0.1,0.00001,1136753.68,132034.33,734737.46,29561.8,247868.25,18157.43,491712.62,507530.41,627380.85,47133.71,45729.27,266990.4
25,14,7.2,14,PE,0.1,0.0001,1354556.23,143846.14,837564.03,32080.86,269904.53,21023.32,499143.46,606502.32,674084.51,55857.47,51638.9,301130.96
25,14,7.2,14,PE,0.1,0.0001,1434021.61,162532.65,881122.63,31739.45,293421.55,20247.46,557208.8,608182.21,779919.65,67306.45,56495,300737.61
25,14,7.2,14,PE,0.1,0.0001,1350086.41,154626.59,835764.75,31516.77,281324.52,20187.89,533437.13,583731.03,738504.23,63444.31,53452.78,295574.8
25,14,7.2,14,PE,0.1,0.0001,909607.62,132837.33,595368.77,35283.33,198109.94,25617.1,396882.79,504914.53,495032.3,37315.53,37846.59,237776.05
20,28,NA,12,PE,0.1,0.02,1974188.88,286548.36,1063806.37,69136.4,336567.02,96743.2,692557.36,1165128.74,794902.18,52553.28,82193.65,430635.88
20,28,NA,12,PE,0.1,0.02,1213501.87,167515.79,660166.2,35942.49,226694.76,45652.72,450914.05,737866.87,555414.12,40580.59,52113.02,280180.42
20,28,NA,12,PE,0.1,0.02,6234146.89,968313.19,3291797.97,277671.4,966403.17,356097.16,2060325.45,4236147.44,2138377.44,123384.05,245170.07,1307705.73
20,28,NA,12,PE,0.1,0.02,11578261.35,1544114.31,5617972.65,540971.91,1647742.2,893265.98,3661794.68,7218720.95,3489305.71,180635.24,421609.18,2205221.74
20,28,NA,12,PE,0.1,0.02,2201429.48,304259.62,1209077.73,62063.2,404901.03,81479.43,822179.38,1263190.21,977642.83,66643.83,97251.13,502677.16
20,28,NA,12,PE,0.1,0.02,950864.87,174300.79,497554.56,27969.65,168423.5,35129.36,320189.32,592569.85,424253.31,26944.43,28641.54,198399.44
25,14,#N/A,16,PS,0.1091,0.0001,1387326.74,125299.92,885871.68,31269.71,323005.99,37035.13,569590.79,668142.24,843870.84,55780.02,55329.54,343442.55
25,14,#N/A,16,PS,0.1091,0.0001,699430.69,58178.1,450079.52,14779.58,166089.44,19222.45,286814.76,322941.7,443861.76,26859.24,28310.9,178600.12
25,14,#N/A,16,PS,0.1091,0.0001,1128338.88,97745.57,785479.73,28870.6,296353.21,26395.86,483471.22,529036.15,798450.49,43454.34,41588.4,300985.47
25,14,#N/A,16,PS,0.1091,0.0001,623816.91,49992.61,397195.93,12160.37,146114.47,16833.59,250205.35,281691.46,387075.85,23855.3,24579.67,157371.3
25,14,#N/A,16,PS,0.1091,0.001,722424.76,96323.91,478456.41,29740,138033.53,22732.86,261151.45,392079.58,344422.92,21031.34,30032.49,167718.37
25,14,#N/A,16,PS,0.1091,0.001,69501.15,7147.16,41769.81,1281.16,13758.33,1870.32,26117.92,33645.43,36014.06,2421.72,3896.41,17582.99
25,14,#N/A,16,PS,0.1091,0.001,136392.8,12954.12,82870.83,3023.57,27949.65,3501.38,51225.46,67836.05,71826.33,4872.68,6500.11,32479.64
25,14,#N/A,16,PS,0.1091,0.001,561276.8,53022.57,368065.86,13124.83,121794.18,12804.52,224146.99,263077.44,314143.89,17735.51,31832.44,150567.24
25,1,7.4,NA,PE,0.2,0.007,1949018.75,286056.47,1209928.2,53296.46,419474.71,26637.93,665376.78,955341.52,1026801.16,51073.09,59922.76,455911.12
25,1,7.4,NA,PE,0.2,0.007,2381904.88,422321.7,1554974.21,58402.59,523971.72,29644.29,865780.32,1353727.06,1277166.97,65036.78,80975.38,585151.86
25,1,7.4,NA,PE,0.2,0.007,2244096.41,311643.82,1371635.9,60105.82,469184.32,33296.99,743784.94,1147112.22,1190118.75,60134.57,60688.99,514238.5
27,14,#N/A,#N/A,PVC,0.2,0.00001,275664.51,40231.99,162900.78,10362.72,57675.87,9809.27,103853.18,182879.84,140454.38,8776.17,7398.17,64714.09
